,GEOID,Region,VMT,Area in squaremile,Area normalized VMT,Statewide percentile rank,County percentile rank
79,6037980028,Los Angeles,4743961.638,7.615310192,622950.5454,76,73
80,6001437101,Alameda,6091376.416,21.80500031,279356.8599,65,64
81,6037106510,Los Angeles,10979329.56,2.235690117,4910935.322,96,94
82,6077005140,San Joaquin,12227683.37,1.342450023,9108483.121,99,97
83,6065044505,Riverside,14249662.66,4.548749924,3132654.664,93,90
84,6037409100,Los Angeles,11497525.01,0.601324975,19120318.43,100,100
85,6029003308,Kern,13576837.65,29.49259949,460347.2698,73,74
86,6059052518,Orange,7801764.747,2.242199898,3479513.47,93,93
87,6099003700,Stanislaus,12170494.24,15.60400009,779959.8932,78,83
88,6029006012,Kern,12244525.29,221.5209961,55274.78436,26,14
89,6037502700,Los Angeles,10056556.46,2.681770086,3749969.66,94,91
90,6107002006,Tulare,13025987.24,7.899590015,1648944.719,86,92
91,6037578000,Los Angeles,12627890.17,0.713114023,17708094.02,100,100
92,6095253101,Solano,10914661.15,2.406579971,4535341.139,96,98
93,6039000204,Madera,15674732.01,45.93299866,341252.0947,69,68
94,6047002601,Merced,12328778.47,10.08570004,1222401.859,82,78
95,6011000302,Colusa,11938702.46,327.197998,36487.70022,18,33
96,6093001300,Siskiyou,17928279.99,1443.109985,12423.36355,7,31
97,6037980018,Los Angeles,8934427.654,2.86145997,3122331.868,93,89
98,6025011303,Imperial,9152995.733,42.16439819,217078.7708,61,82
99,6037980022,Los Angeles,8767061.915,2.49116993,3519254.873,94,90
100,6037543203,Los Angeles,9074381.524,1.430430055,6343813.522,98,95
101,6059011602,Orange,7556449.833,2.189209938,3451678.938,93,93
102,6021010200,Glenn,14914815.98,52.42259979,284511.1849,66,50
103,6037911001,Los Angeles,8958650.304,144.4889984,62002.30054,29,23
104,6001441525,Alameda,8662535.835,1.799970031,4812600.036,96,93
105,6035040100,Lassen,7548885.341,2941.040039,2566.740079,2,11
106,6077004107,San Joaquin,9007986.919,14.88729954,605078.6374,76,69
107,6029000106,Kern,9602396.968,6.177120209,1554510.297,85,87
108,6077005503,San Joaquin,11079953.07,31.29050064,354099.5779,69,61
109,6037403323,Los Angeles,9189337.008,1.223270059,7512108.175,98,97
110,6029003221,Kern,9874287.79,29.00440025,340441.0263,69,66
111,6065940400,Riverside,12007755.57,4.45472002,2695512.966,91,89
112,6073017058,San Diego,6190177.953,0.687738001,9000779.281,99,100
113,6095252205,Solano,8847129.284,13.82429981,639969.431,76,74
114,6037980011,Los Angeles,10767514.11,0.53154099,20257166.08,100,100
115,6077005122,San Joaquin,9682382.577,4.157129765,2329102.801,90,83
116,6053010606,Monterey,11754172.07,110.947998,105943.0749,43,54
117,6037403326,Los Angeles,8766137.618,0.740414023,11839507.82,99,99
118,6089011501,Shasta,12593366.88,9.210980415,1367212.426,83,88
119,6061021901,Placer,12407551.57,16.59830093,747519.3767,78,81
120,6037980036,Los Angeles,7963632.724,3.38093996,2355449.318,90,85
121,6059075516,Orange,5308926.427,3.912549973,1356896.772,83,79
122,6107000303,Tulare,9722935.611,30.32670021,320606.4472,68,77
123,6029001001,Kern,9416594.347,16.7961998,560638.3861,75,79
124,6013334200,Contra Costa,9765758.536,2.620949984,3726037.733,94,97
125,6077005137,San Joaquin,8898550.158,2.246200085,3961601.737,95,90
126,6081990100,San Mateo,9210477.256,261.6640015,35199.63466,18,14
127,6029006009,Kern,9286146.057,75.93340302,122293.295,47,28
128,6071010700,San Bernardino,14296457.67,53.79740143,265746.2497,64,52
129,6037409000,Los Angeles,7312844.467,3.038199902,2406966.199,90,85
130,6071001600,San Bernardino,11501254.48,4.795810223,2398187.991,90,82
131,6077003215,San Joaquin,9366515.483,4.128449917,2268772.947,89,82
132,6059063910,Orange,5775065.358,1.62124002,3562128.548,94,93
133,6037408212,Los Angeles,7780134.037,1.100819945,7067580.916,98,96
134,6095253501,Solano,9987888.197,148.4349976,67287.96012,31,28
135,6029005510,Kern,8281664.184,230.8990021,35867.04191,18,11
136,6025011001,Imperial,6807177.816,65.09819794,104567.838,42,57
137,6107001008,Tulare,9130777.587,8.573840141,1064957.76,81,90
138,6029005206,Kern,8034023.526,353.3510132,22736.66475,12,8
139,6077002000,San Joaquin,7962022.836,0.775305986,10269523.23,99,99
140,6073021101,San Diego,6138881.056,234.7019958,26156.06669,14,14
141,6037262200,Los Angeles,6512339.536,3.308320045,1968473.257,88,83
142,6037920106,Los Angeles,7503584.117,18.14949989,413432.0043,71,70
143,6037602302,Los Angeles,6674834.02,0.751949012,8876710.935,99,98
144,6047002001,Merced,9285339.147,159.1340027,58349.18365,27,29
145,6071010009,San Bernardino,12402093.13,6.632909775,1869781.672,87,78
146,6053011305,Monterey,11475474.33,211.7969971,54181.47798,25,34
147,6037910814,Los Angeles,6110861.248,30.98800087,197200.8867,58,56
148,6099000803,Stanislaus,8017391.198,0.787979007,10174625.38,99,100
149,6037541003,Los Angeles,6277654.949,2.335390091,2688054.117,91,87
150,6065040303,Riverside,8423174.672,1.180250049,7136771.299,98,97
151,6037550301,Los Angeles,7026291.032,0.639777005,10982406.34,99,98
152,6037408703,Los Angeles,6545474.082,6.607319832,990639.8129,81,77
153,6061022002,Placer,10106897.37,25.1609993,401689.0286,71,75
154,6073022101,San Diego,5052653.404,4.835110188,1044992.401,81,82
155,6077003601,San Joaquin,6356694.277,11.97179985,530972.3146,74,68
156,6001450603,Alameda,5950260.46,1.513069987,3932574.508,95,92
157,6001407300,Alameda,5176481.845,0.996209979,5196175.458,97,95
158,6019003900,Fresno,5912808.252,176.9559937,33414.00385,17,16
159,6065030502,Riverside,7939503.735,0.745411992,10651161.8,99,99
160,6037403328,Los Angeles,6770779.009,1.077119946,6286002.809,98,95
161,6019001100,Fresno,7019599.379,1.448400021,4846450.759,96,98
162,6077003900,San Joaquin,4982353.953,204.5059967,24362.8746,13,6
163,6107002010,Tulare,8644803.519,7.009140015,1233361.511,82,91
164,6045010200,Mendocino,5258309.998,749.5640259,7015.1579,4,26
165,6065047000,Riverside,9172556.225,53.74269867,170675.3932,55,61
166,6099000503,Stanislaus,7281028.168,0.919237018,7920729.941,98,98
167,6013327001,Contra Costa,7065528.233,2.578579903,2740085.047,91,93
168,6077005225,San Joaquin,6606221.571,13.74419975,480655.2357,73,66
169,6025011903,Imperial,6520251.57,32.65119934,199694.0909,59,78
170,6037408401,Los Angeles,6526945.008,0.447416991,14588057.98,100,99
171,6079010301,San Luis Obispo,5959757.03,407.3469849,14630.6644,8,12
172,6037500403,Los Angeles,6501057.934,0.849694014,7651057.71,98,97
173,6071007108,San Bernardino,10290441.8,1.106369972,9301085.586,99,97
174,6055201003,Napa,8607438.272,28.1067009,306241.501,67,82
175,6073020111,San Diego,5057629.353,5.482019901,922585.004,80,81
176,6037402200,Los Angeles,6232719.986,2.45517993,2538600.088,90,86
177,6077005224,San Joaquin,6965690.425,0.722723007,9638119.107,99,98
178,6059062653,Orange,4503674.266,2.720860004,1655239.247,86,81
179,6107002401,Tulare,8147661.89,9.858010292,826501.6619,79,89
180,6001430101,Alameda,4993513.507,9.916449547,503558.6057,74,70
181,6045011800,Mendocino,4216255.027,253.7259979,16617.35518,9,61
182,6037900902,Los Angeles,6098929.499,45.93579865,132770.7295,49,45
183,6077002800,San Joaquin,6709235.444,2.823159933,2376498.535,90,83
184,6037403317,Los Angeles,6393823.685,1.617990017,3951707.747,95,91
185,6029004607,Kern,6824962.933,6.156700134,1108542.366,81,85
186,6089012606,Shasta,4026603.934,759.7020264,5300.24114,3,10
187,6093000902,Siskiyou,11648690.38,120.8730011,96371.3176,40,75
188,6059001506,Orange,4843620.117,1.751320004,2765696.791,92,90
189,6057001209,Nevada,7921311.897,5.768060207,1373306.036,84,100
190,6037206050,Los Angeles,4929053.02,0.689071,7153185.989,98,96
191,6061020608,Placer,7534976.931,8.223779678,916242.5582,80,86
192,6093001002,Siskiyou,11356072.34,5.873650074,1933392.727,88,100
193,6107002100,Tulare,7660352.324,53.55020142,143049.9255,51,64
194,6037570404,Los Angeles,6418917.41,0.334197998,19206929.57,100,100
195,6039000513,Madera,8692775.541,52.84550095,164494.1459,54,59
196,6031000100,Kings,5648823.087,98.5644989,57310.9299,27,45
197,6031001200,Kings,6391030.16,153.6340027,41599.06042,20,23
198,6115041001,Yuba,7526920.839,107.197998,70215.12506,32,42
199,6089012701,Shasta,6582282.398,390.6950073,16847.62353,9,18
200,6079012705,San Luis Obispo,4174851.558,98.23760223,42497.4904,21,28
201,6107000902,Tulare,6910130.622,46.6004982,148284.4795,52,66
202,6037920116,Los Angeles,6426387.724,2.866640091,2241783.942,89,85
203,6097150100,Sonoma,6326497.028,72.99310303,86672.53158,37,62
204,6065043820,Riverside,7138166.474,1.683889985,4239093.134,95,93
205,6079011505,San Luis Obispo,4508990.451,120.572998,37396.35345,19,25
206,6061021802,Placer,6723099.797,8.291959763,810797.4459,78,84
207,6013378000,Contra Costa,7291947.961,10.69169998,682019.508,77,73
208,6037502303,Los Angeles,5814747.046,0.900334001,6458433.251,98,96
209,6037181000,Los Angeles,4667577.101,1.598019958,2920850.318,92,88
210,6083001706,Santa Barbara,4122146.828,47.21310043,87309.38639,37,59
211,6037292001,Los Angeles,5442231.333,1.362949967,3992979.539,95,92
212,6073009307,San Diego,3437429.059,1.786599994,1924005.973,87,92
213,6037800328,Los Angeles,5281105.299,3.721260071,1419171.248,84,80
214,6065030400,Riverside,6535913.64,1.057800055,6178779.829,97,96
215,6037408213,Los Angeles,5799270.5,0.597911,9699220.281,99,98
216,6077004800,San Joaquin,3492252.261,140.7700043,24808.21308,13,7
217,6037577800,Los Angeles,5458655.915,0.679673016,8031297.088,98,97
218,6061021109,Placer,7125608.555,2.344980001,3038664.957,92,98
219,6037910213,Los Angeles,4798368.154,11.30150032,424577.978,72,70
220,6001450608,Alameda,4958639.037,1.356739998,3654818.937,94,91
221,6071004503,San Bernardino,9464902.1,5.260119915,1799370.025,87,77
222,6077000900,San Joaquin,6463006.153,1.306650043,4946241.107,96,93
223,6107004401,Tulare,7586413.766,3.557990074,2132218.923,89,95
224,6037910218,Los Angeles,4700099.022,6.473239899,726081.3897,77,75
225,6077000803,San Joaquin,5927398.485,1.670750022,3547747.064,94,88
226,6047000904,Merced,6914340.462,3.330699921,2075942.182,88,86
227,6037482801,Los Angeles,5343057.686,1.222110033,4371993.963,95,93
228,6037403601,Los Angeles,5156082.485,1.900030017,2713684.752,91,87
229,6073020313,San Diego,3386914.593,2.980669975,1136293.055,82,84
230,6037402405,Los Angeles,5327214.076,0.391424,13609829.93,100,99
231,6107004402,Tulare,7291943.821,2.95340991,2468991.452,90,97
232,6089012702,Shasta,6411908.935,505.3039856,12689.21108,7,16
233,6097154100,Sonoma,5743409.856,223.9909973,25641.25311,13,34
234,6071007107,San Bernardino,8202429.155,0.920491993,8910918.523,99,97
235,6067007107,Sacramento,6089270.521,5.308549881,1147068.532,82,76
236,6037206051,Los Angeles,3973903.363,1.440459967,2758773.902,92,87
